train_id,time_start,time_end,direction,speed,longitude,latitude
TR047,2024-10-24 12:47:00,2024-10-24 12:53:00,W,50,-73.744209,40.713409
TR048,2024-10-24 14:58:00,2024-10-24 15:05:00,E,36,-73.999658,40.711929
TR049,2024-10-24 18:35:00,2024-10-24 18:43:00,W,39,-73.839526,40.711798
TR050,2024-10-24 19:53:00,2024-10-24 19:58:00,E,41,-74.038838,40.712768
TR051,2024-10-24 21:13:00,2024-10-24 21:19:00,W,44,-73.613488,40.712788
TR052,2024-10-25 09:55:00,2024-10-25 10:00:00,E,48,-73.949028,40.71248
TR053,2024-10-25 11:06:00,2024-10-25 11:11:00,W,31,-73.935847,40.714923
TR055,2024-10-25 12:04:00,2024-10-25 12:09:00,W,32,-73.99416,40.711131
TR054,2024-10-25 12:39:00,2024-10-25 12:46:00,E,42,-73.875925,40.712914
TR056,2024-10-25 13:25:00,2024-10-25 13:33:00,E,41,-73.983815,40.712625
TR057,2024-10-25 14:07:00,2024-10-25 14:15:00,W,39,-73.66197,40.714778
TR058,2024-10-25 15:29:00,2024-10-25 15:35:00,E,43,-73.682452,40.710799
TR059,2024-10-25 18:03:00,2024-10-25 18:10:00,W,32,-73.820966,40.715337
TR060,2024-10-25 20:42:00,2024-10-25 20:48:00,E,43,-73.827841,40.715122
TR061,2024-10-26 08:42:00,2024-10-26 08:48:00,W,45,-74.008578,40.713281
TR062,2024-10-26 10:53:00,2024-10-26 10:58:00,E,50,-73.779085,40.710781
TR063,2024-10-26 11:05:00,2024-10-26 11:11:00,W,39,-73.825111,40.71388
TR064,2024-10-26 11:57:00,2024-10-26 12:02:00,E,42,-73.808209,40.711625
TR065,2024-10-26 12:53:00,2024-10-26 12:59:00,W,43,-73.677574,40.711617
TR066,2024-10-26 15:29:00,2024-10-26 15:35:00,E,49,-73.678331,40.712967
TR067,2024-10-26 16:56:00,2024-10-26 17:03:00,W,34,-73.902582,40.712091
TR068,2024-10-26 18:15:00,2024-10-26 18:23:00,E,47,-73.771737,40.715024
TR069,2024-10-26 18:27:00,2024-10-26 18:34:00,W,41,-73.714574,40.713587
TR070,2024-10-27 09:47:00,2024-10-27 09:55:00,E,47,-73.781414,40.711668
TR071,2024-10-27 10:57:00,2024-10-27 11:04:00,W,42,-73.683507,40.713465
TR073,2024-10-27 11:18:00,2024-10-27 11:24:00,W,43,-73.665552,40.713878
TR074,2024-10-27 11:19:00,2024-10-27 11:24:00,E,42,-73.590536,40.714289
TR072,2024-10-27 11:30:00,2024-10-27 11:35:00,E,46,-73.761143,40.711155
TR075,2024-10-27 13:13:00,2024-10-27 13:18:00,W,45,-73.942922,40.710965
TR076,2024-10-27 17:06:00,2024-10-27 17:12:00,E,50,-73.973156,40.711543
TR077,2024-10-27 18:58:00,2024-10-27 19:05:00,W,40,-74.025524,40.712482
TR078,2024-10-27 19:43:00,2024-10-27 19:48:00,E,34,-73.607426,40.712866
TR079,2024-10-28 09:29:00,2024-10-28 09:37:00,W,48,-73.730187,40.715079
TR080,2024-10-28 10:05:00,2024-10-28 10:12:00,E,44,-74.022808,40.710997
TR081,2024-10-28 11:49:00,2024-10-28 11:57:00,W,33,-73.807532,40.714642
TR082,2024-10-28 14:39:00,2024-10-28 14:45:00,E,37,-73.600875,40.711358
TR083,2024-10-28 15:30:00,2024-10-28 15:37:00,W,40,-73.752162,40.715166
TR084,2024-10-28 16:02:00,2024-10-28 16:07:00,E,43,-73.633491,40.711029
TR085,2024-10-28 18:12:00,2024-10-28 18:20:00,W,48,-73.879073,40.712788
TR086,2024-10-28 20:41:00,2024-10-28 20:47:00,E,49,-73.818076,40.714093
TR087,2024-10-29 08:20:00,2024-10-29 08:26:00,W,48,-73.797896,40.713082
TR088,2024-10-29 08:31:00,2024-10-29 08:37:00,E,45,-74.012631,40.714454
TR090,2024-10-29 09:12:00,2024-10-29 09:18:00,E,42,-73.945113,40.713557
TR089,2024-10-29 09:13:00,2024-10-29 09:19:00,W,50,-73.829962,40.71344
TR091,2024-10-29 10:46:00,2024-10-29 10:53:00,W,49,-73.642795,40.712906
TR092,2024-10-29 11:40:00,2024-10-29 11:48:00,E,33,-73.734324,40.714522
TR093,2024-10-29 12:21:00,2024-10-29 12:26:00,W,50,-73.937172,40.715428
TR094,2024-10-29 15:41:00,2024-10-29 15:46:00,E,30,-73.878263,40.710948
TR095,2024-10-29 16:24:00,2024-10-29 16:31:00,W,31,-73.91178,40.714712
TR096,2024-10-29 16:50:00,2024-10-29 16:58:00,E,41,-73.920125,40.71092
TR097,2024-10-29 21:06:00,2024-10-29 21:14:00,W,48,-73.996945,40.711797
TR098,2024-10-30 07:01:00,2024-10-30 07:09:00,E,46,-73.965634,40.713646
TR099,2024-10-30 08:47:00,2024-10-30 08:55:00,W,39,-73.716834,40.712123
TR100,2024-10-30 09:31:00,2024-10-30 09:37:00,E,40,-73.703942,40.713292
TR101,2024-10-30 13:12:00,2024-10-30 13:19:00,W,47,-73.834631,40.713307
TR102,2024-10-30 15:27:00,2024-10-30 15:32:00,E,30,-73.876106,40.711656
TR103,2024-10-30 16:20:00,2024-10-30 16:28:00,W,42,-73.699845,40.713725
TR104,2024-10-30 16:39:00,2024-10-30 16:45:00,E,31,-73.823976,40.7141
TR105,2024-10-30 18:04:00,2024-10-30 18:10:00,W,48,-74.023906,40.712664
TR106,2024-10-30 21:26:00,2024-10-30 21:33:00,E,40,-73.711313,40.713512
TR107,2024-10-31 07:43:00,2024-10-31 07:48:00,W,43,-73.817499,40.713473
TR108,2024-10-31 08:11:00,2024-10-31 08:19:00,E,45,-73.891956,40.715579
TR109,2024-10-31 08:28:00,2024-10-31 08:36:00,W,37,-74.033595,40.711676
TR110,2024-10-31 10:48:00,2024-10-31 10:55:00,E,49,-73.769759,40.715415
TR111,2024-10-31 10:58:00,2024-10-31 11:06:00,W,45,-73.807966,40.71508
TR112,2024-10-31 12:27:00,2024-10-31 12:34:00,E,34,-73.849704,40.710925
TR113,2024-10-31 15:33:00,2024-10-31 15:40:00,W,33,-73.634345,40.711829
TR114,2024-10-31 17:21:00,2024-10-31 17:29:00,E,30,-73.711682,40.712837
TR115,2024-10-31 18:36:00,2024-10-31 18:41:00,W,35,-73.813725,40.7147
TR116,2024-11-01 07:34:00,2024-11-01 07:41:00,E,50,-73.91062,40.712595
TR117,2024-11-01 08:18:00,2024-11-01 08:24:00,W,49,-73.604444,40.714791
TR118,2024-11-01 09:45:00,2024-11-01 09:52:00,E,34,-73.671428,40.714475
TR119,2024-11-01 10:50:00,2024-11-01 10:57:00,W,44,-73.959244,40.715477
TR120,2024-11-01 11:49:00,2024-11-01 11:57:00,E,40,-73.940942,40.714923
TR121,2024-11-01 12:32:00,2024-11-01 12:40:00,W,31,-73.975857,40.713211
TR122,2024-11-01 12:51:00,2024-11-01 12:58:00,E,41,-74.038556,40.712119
TR123,2024-11-01 17:06:00,2024-11-01 17:14:00,W,49,-73.692748,40.712007
TR124,2024-11-01 19:21:00,2024-11-01 19:28:00,E,42,-73.685994,40.712904
TR125,2024-11-02 08:19:00,2024-11-02 08:27:00,W,36,-73.791475,40.711254
TR126,2024-11-02 11:41:00,2024-11-02 11:48:00,E,36,-73.76122,40.712294
TR127,2024-11-02 12:22:00,2024-11-02 12:27:00,W,39,-74.034835,40.714528
TR129,2024-11-02 13:04:00,2024-11-02 13:10:00,W,49,-73.903535,40.715503
TR128,2024-11-02 13:29:00,2024-11-02 13:35:00,E,32,-73.665618,40.712693
TR131,2024-11-02 14:01:00,2024-11-02 14:08:00,W,35,-73.614709,40.711121
TR130,2024-11-02 14:44:00,2024-11-02 14:50:00,E,34,-73.939409,40.71461
TR133,2024-11-02 15:05:00,2024-11-02 15:10:00,W,36,-73.614107,40.71216
TR132,2024-11-02 15:22:00,2024-11-02 15:30:00,E,35,-73.62261,40.715506
TR135,2024-11-02 16:40:00,2024-11-02 16:47:00,W,44,-73.624524,40.712439
TR134,2024-11-02 16:47:00,2024-11-02 16:55:00,E,40,-73.638089,40.712097
TR136,2024-11-02 18:39:00,2024-11-02 18:44:00,E,30,-73.934342,40.714538
TR138,2024-11-03 07:19:00,2024-11-03 07:26:00,E,46,-73.954097,40.714795
TR137,2024-11-03 07:24:00,2024-11-03 07:31:00,W,43,-73.65642,40.714149
TR139,2024-11-03 08:09:00,2024-11-03 08:16:00,W,49,-73.905003,40.710863
TR140,2024-11-03 09:07:00,2024-11-03 09:13:00,E,35,-73.931767,40.71196
TR141,2024-11-03 09:11:00,2024-11-03 09:16:00,W,31,-73.977719,40.712048
TR142,2024-11-03 10:03:00,2024-11-03 10:09:00,E,43,-73.866542,40.71104
TR143,2024-11-03 10:24:00,2024-11-03 10:32:00,W,39,-74.036266,40.712915
TR145,2024-11-03 11:00:00,2024-11-03 11:06:00,W,48,-73.87461,40.714351
TR144,2024-11-03 11:41:00,2024-11-03 11:47:00,E,42,-73.738152,40.715183
TR146,2024-11-03 13:10:00,2024-11-03 13:15:00,E,47,-73.677311,40.710999
TR147,2024-11-03 17:29:00,2024-11-03 17:36:00,W,30,-73.920726,40.713614
TR148,2024-11-03 17:51:00,2024-11-03 17:56:00,E,40,-73.655826,40.71523
TR149,2024-11-04 07:53:00,2024-11-04 08:01:00,W,48,-73.848863,40.71131
TR150,2024-11-04 08:51:00,2024-11-04 08:58:00,E,31,-73.953732,40.713931
TR152,2024-11-04 13:16:00,2024-11-04 13:22:00,E,42,-73.626111,40.711754
TR151,2024-11-04 13:33:00,2024-11-04 13:39:00,W,32,-73.959667,40.711242
TR153,2024-11-04 14:29:00,2024-11-04 14:36:00,W,42,-73.608583,40.710949
TR154,2024-11-04 15:12:00,2024-11-04 15:18:00,E,34,-73.634374,40.71457
TR156,2024-11-04 17:59:00,2024-11-04 18:06:00,E,37,-73.961442,40.711019
TR155,2024-11-04 17:59:00,2024-11-04 18:06:00,W,34,-73.962522,40.713651
TR157,2024-11-04 20:00:00,2024-11-04 20:05:00,W,39,-73.99311,40.715518
TR158,2024-11-04 21:55:00,2024-11-04 22:03:00,E,31,-73.790942,40.711358
TR159,2024-11-05 07:06:00,2024-11-05 07:12:00,W,31,-73.708941,40.71495
TR160,2024-11-05 08:21:00,2024-11-05 08:26:00,E,37,-73.618082,40.712575
TR161,2024-11-05 10:34:00,2024-11-05 10:42:00,W,36,-73.683783,40.713277
TR162,2024-11-05 11:48:00,2024-11-05 11:54:00,E,50,-73.632292,40.715323
TR163,2024-11-05 11:48:00,2024-11-05 11:56:00,W,46,-73.824297,40.710797
TR164,2024-11-05 15:06:00,2024-11-05 15:14:00,E,38,-73.977617,40.711837
TR165,2024-11-05 18:41:00,2024-11-05 18:48:00,W,32,-73.646608,40.711088
TR167,2024-11-05 18:52:00,2024-11-05 19:00:00,W,47,-73.594551,40.712715
TR166,2024-11-05 18:56:00,2024-11-05 19:03:00,E,46,-73.846489,40.712436
TR168,2024-11-05 20:58:00,2024-11-05 21:04:00,E,43,-73.973373,40.712636
TR169,2024-11-06 07:09:00,2024-11-06 07:17:00,W,40,-73.685903,40.713064
TR170,2024-11-06 08:11:00,2024-11-06 08:16:00,E,38,-73.595701,40.713015
TR171,2024-11-06 08:35:00,2024-11-06 08:43:00,W,45,-73.646598,40.710767
TR172,2024-11-06 09:33:00,2024-11-06 09:38:00,E,32,-73.670103,40.713863
TR173,2024-11-06 11:59:00,2024-11-06 12:04:00,W,40,-73.942637,40.71282
TR174,2024-11-06 14:28:00,2024-11-06 14:34:00,E,39,-73.985538,40.713248
TR175,2024-11-06 15:14:00,2024-11-06 15:19:00,W,43,-74.03798,40.714268
TR176,2024-11-06 15:23:00,2024-11-06 15:31:00,E,45,-73.752543,40.712847
TR178,2024-11-06 16:26:00,2024-11-06 16:34:00,E,49,-73.981742,40.713971
TR177,2024-11-06 16:36:00,2024-11-06 16:43:00,W,49,-73.991378,40.715344
TR179,2024-11-06 17:12:00,2024-11-06 17:17:00,W,37,-73.88061,40.711045
TR180,2024-11-06 18:40:00,2024-11-06 18:46:00,E,32,-73.607728,40.714333
TR181,2024-11-07 08:17:00,2024-11-07 08:24:00,W,43,-73.903426,40.71311
TR182,2024-11-07 10:59:00,2024-11-07 11:05:00,E,50,-73.905356,40.714806
TR184,2024-11-07 14:31:00,2024-11-07 14:39:00,E,45,-74.019708,40.713625
TR183,2024-11-07 14:54:00,2024-11-07 15:01:00,W,32,-73.937917,40.713612
TR185,2024-11-07 17:52:00,2024-11-07 17:59:00,W,50,-73.908769,40.713397
TR186,2024-11-07 18:49:00,2024-11-07 18:56:00,E,33,-73.910877,40.711739
TR187,2024-11-07 20:48:00,2024-11-07 20:55:00,W,45,-73.611007,40.714161
TR188,2024-11-07 21:44:00,2024-11-07 21:50:00,E,31,-73.932212,40.712474
TR189,2024-11-08 07:17:00,2024-11-08 07:25:00,W,32,-73.725544,40.712764
TR190,2024-11-08 08:56:00,2024-11-08 09:01:00,E,41,-73.84378,40.711564
TR192,2024-11-08 09:19:00,2024-11-08 09:26:00,E,37,-73.746909,40.713511
TR191,2024-11-08 09:24:00,2024-11-08 09:31:00,W,36,-73.982599,40.710984
TR193,2024-11-08 10:06:00,2024-11-08 10:13:00,W,42,-73.858985,40.712043
TR194,2024-11-08 10:09:00,2024-11-08 10:17:00,E,41,-73.830412,40.712795
TR195,2024-11-08 11:27:00,2024-11-08 11:35:00,W,37,-73.736798,40.710701
TR196,2024-11-08 12:09:00,2024-11-08 12:14:00,E,35,-73.641978,40.712647
TR197,2024-11-08 13:04:00,2024-11-08 13:10:00,W,32,-73.951142,40.71487
TR198,2024-11-08 14:23:00,2024-11-08 14:29:00,E,36,-73.967057,40.714929
TR199,2024-11-08 15:22:00,2024-11-08 15:27:00,W,42,-73.861925,40.711641
TR200,2024-11-08 16:25:00,2024-11-08 16:33:00,E,34,-73.713304,40.713122
TR201,2024-11-09 09:39:00,2024-11-09 09:47:00,W,45,-73.696123,40.714123
TR202,2024-11-09 10:33:00,2024-11-09 10:38:00,E,35,-74.002768,40.715555
TR203,2024-11-09 11:27:00,2024-11-09 11:34:00,W,45,-73.626335,40.711373
TR205,2024-11-09 15:34:00,2024-11-09 15:42:00,W,50,-73.590987,40.715301
TR204,2024-11-09 15:39:00,2024-11-09 15:47:00,E,37,-73.712795,40.711899
TR206,2024-11-09 16:55:00,2024-11-09 17:02:00,E,39,-73.737498,40.714765
TR207,2024-11-09 19:31:00,2024-11-09 19:39:00,W,34,-73.791132,40.713901
TR208,2024-11-09 20:36:00,2024-11-09 20:43:00,E,36,-73.6405,40.715511
TR210,2024-11-10 07:11:00,2024-11-10 07:16:00,E,45,-73.829854,40.711901
TR209,2024-11-10 07:27:00,2024-11-10 07:32:00,W,34,-73.823122,40.711761
TR211,2024-11-10 09:15:00,2024-11-10 09:22:00,W,31,-73.709495,40.712625
TR212,2024-11-10 10:13:00,2024-11-10 10:20:00,E,42,-73.817532,40.713054
TR213,2024-11-10 12:09:00,2024-11-10 12:14:00,W,30,-73.890203,40.71451
TR215,2024-11-10 15:08:00,2024-11-10 15:14:00,W,31,-73.839909,40.714737
TR214,2024-11-10 15:43:00,2024-11-10 15:49:00,E,50,-73.722538,40.713228
TR216,2024-11-10 17:15:00,2024-11-10 17:21:00,E,31,-73.597805,40.715558
TR217,2024-11-10 18:16:00,2024-11-10 18:21:00,W,31,-73.599634,40.713551
TR218,2024-11-10 21:55:00,2024-11-10 22:01:00,E,36,-73.676563,40.714884
TR219,2024-11-11 09:18:00,2024-11-11 09:25:00,W,41,-73.91666,40.713705
TR220,2024-11-11 13:33:00,2024-11-11 13:38:00,E,43,-73.634869,40.712354
TR221,2024-11-11 16:49:00,2024-11-11 16:54:00,W,39,-73.892598,40.711029
TR223,2024-11-11 17:08:00,2024-11-11 17:14:00,W,47,-73.653019,40.71203
TR222,2024-11-11 17:08:00,2024-11-11 17:14:00,E,35,-73.985173,40.714023
TR224,2024-11-11 18:05:00,2024-11-11 18:13:00,E,40,-73.699258,40.711887
TR225,2024-11-11 18:32:00,2024-11-11 18:37:00,W,44,-73.855234,40.712294
TR226,2024-11-11 19:45:00,2024-11-11 19:51:00,E,42,-73.723055,40.713702
TR227,2024-11-12 07:33:00,2024-11-12 07:40:00,W,41,-73.96011,40.712206
TR228,2024-11-12 09:24:00,2024-11-12 09:29:00,E,48,-74.033657,40.713488
TR229,2024-11-12 10:29:00,2024-11-12 10:37:00,W,31,-73.796481,40.711408
TR230,2024-11-12 12:29:00,2024-11-12 12:35:00,E,46,-73.980485,40.711913
TR231,2024-11-12 13:40:00,2024-11-12 13:47:00,W,35,-73.732368,40.713899
TR232,2024-11-12 13:47:00,2024-11-12 13:53:00,E,46,-73.840521,40.713613
TR233,2024-11-12 15:21:00,2024-11-12 15:27:00,W,41,-73.683351,40.711711
TR234,2024-11-12 16:48:00,2024-11-12 16:56:00,E,34,-73.62888,40.714924
TR235,2024-11-12 17:56:00,2024-11-12 18:01:00,W,46,-73.758878,40.715509
TR236,2024-11-12 19:34:00,2024-11-12 19:42:00,E,31,-73.601004,40.712203
TR237,2024-11-13 09:10:00,2024-11-13 09:16:00,W,47,-73.874499,40.711404
TR238,2024-11-13 10:20:00,2024-11-13 10:27:00,E,30,-73.781475,40.715079
TR239,2024-11-13 11:50:00,2024-11-13 11:58:00,W,30,-73.838939,40.711583
TR240,2024-11-13 13:40:00,2024-11-13 13:46:00,E,45,-73.706513,40.711374
TR241,2024-11-13 16:26:00,2024-11-13 16:31:00,W,30,-73.731018,40.715291
TR242,2024-11-13 18:29:00,2024-11-13 18:34:00,E,34,-73.67795,40.711494
TR243,2024-11-13 19:18:00,2024-11-13 19:26:00,W,34,-73.955906,40.711301
TR244,2024-11-13 20:57:00,2024-11-13 21:03:00,E,44,-73.977422,40.713537
TR245,2024-11-14 09:15:00,2024-11-14 09:22:00,W,49,-73.624598,40.712001
TR247,2024-11-14 12:19:00,2024-11-14 12:24:00,W,43,-73.661142,40.715198
TR246,2024-11-14 12:56:00,2024-11-14 13:03:00,E,35,-73.944387,40.711672
TR248,2024-11-14 13:14:00,2024-11-14 13:20:00,E,46,-73.982196,40.715569
TR249,2024-11-14 15:19:00,2024-11-14 15:24:00,W,34,-73.799974,40.71516
TR250,2024-11-14 16:11:00,2024-11-14 16:19:00,E,31,-73.996823,40.714901
TR251,2024-11-14 16:35:00,2024-11-14 16:41:00,W,38,-73.766344,40.713822
TR252,2024-11-14 17:03:00,2024-11-14 17:09:00,E,41,-73.740632,40.711839
TR253,2024-11-15 08:29:00,2024-11-15 08:36:00,W,44,-74.011682,40.713063
TR254,2024-11-15 09:15:00,2024-11-15 09:23:00,E,38,-73.824819,40.714467
TR255,2024-11-15 10:43:00,2024-11-15 10:48:00,W,42,-74.008295,40.711663
TR256,2024-11-15 14:38:00,2024-11-15 14:45:00,E,47,-73.719633,40.711618
TR259,2024-11-15 15:05:00,2024-11-15 15:10:00,W,30,-73.917487,40.715482
TR257,2024-11-15 15:26:00,2024-11-15 15:33:00,W,43,-73.869014,40.715293
TR258,2024-11-15 15:34:00,2024-11-15 15:41:00,E,40,-73.912024,40.714383
TR260,2024-11-15 17:28:00,2024-11-15 17:34:00,E,35,-73.955188,40.711398
TR261,2024-11-15 17:34:00,2024-11-15 17:41:00,W,31,-73.627921,40.711492
TR262,2024-11-15 18:05:00,2024-11-15 18:11:00,E,43,-73.845884,40.713197
TR263,2024-11-16 09:28:00,2024-11-16 09:35:00,W,31,-73.783721,40.710777
TR264,2024-11-16 10:08:00,2024-11-16 10:15:00,E,38,-73.960719,40.713149
TR266,2024-11-16 10:12:00,2024-11-16 10:20:00,E,44,-73.893868,40.713126
TR265,2024-11-16 10:38:00,2024-11-16 10:46:00,W,39,-73.991148,40.714763
TR267,2024-11-16 12:42:00,2024-11-16 12:47:00,W,36,-73.589918,40.712114
TR269,2024-11-16 13:26:00,2024-11-16 13:33:00,W,40,-73.88827,40.712468
TR268,2024-11-16 13:40:00,2024-11-16 13:45:00,E,34,-73.847271,40.712083
TR270,2024-11-16 17:09:00,2024-11-16 17:17:00,E,50,-73.729333,40.715257
TR271,2024-11-16 18:04:00,2024-11-16 18:09:00,W,37,-73.644492,40.711418
TR272,2024-11-17 07:52:00,2024-11-17 07:59:00,E,50,-73.625709,40.712978
TR273,2024-11-17 09:02:00,2024-11-17 09:10:00,W,50,-73.751927,40.711144
TR274,2024-11-17 09:27:00,2024-11-17 09:34:00,E,36,-73.766332,40.71337
TR275,2024-11-17 10:01:00,2024-11-17 10:08:00,W,45,-73.71443,40.714462
TR276,2024-11-17 10:09:00,2024-11-17 10:15:00,E,35,-73.591395,40.715172
TR277,2024-11-17 11:41:00,2024-11-17 11:47:00,W,50,-73.871455,40.714027
TR279,2024-11-17 13:33:00,2024-11-17 13:40:00,W,40,-73.973849,40.713274
TR278,2024-11-17 13:42:00,2024-11-17 13:49:00,E,33,-73.794463,40.714257
TR280,2024-11-17 14:48:00,2024-11-17 14:54:00,E,44,-73.587336,40.713295
TR281,2024-11-17 15:12:00,2024-11-17 15:19:00,W,39,-73.970796,40.710989
TR282,2024-11-17 17:23:00,2024-11-17 17:30:00,E,42,-73.859904,40.713036
TR283,2024-11-17 18:59:00,2024-11-17 19:04:00,W,41,-73.763065,40.711367
TR285,2024-11-18 07:01:00,2024-11-18 07:07:00,W,45,-73.871799,40.712905
TR284,2024-11-18 07:54:00,2024-11-18 08:01:00,E,50,-73.969935,40.714826
TR286,2024-11-18 09:15:00,2024-11-18 09:20:00,E,32,-73.997617,40.713045
TR287,2024-11-18 09:42:00,2024-11-18 09:47:00,W,49,-73.921771,40.713368
TR288,2024-11-18 12:45:00,2024-11-18 12:50:00,E,40,-73.798141,40.711365
TR289,2024-11-18 13:21:00,2024-11-18 13:29:00,W,48,-73.727694,40.714019
TR290,2024-11-18 13:36:00,2024-11-18 13:43:00,E,44,-73.802268,40.711642
TR291,2024-11-18 18:15:00,2024-11-18 18:21:00,W,30,-73.798924,40.713256
TR293,2024-11-19 07:06:00,2024-11-19 07:11:00,W,46,-73.991747,40.712475
TR292,2024-11-19 07:53:00,2024-11-19 07:59:00,E,35,-73.739963,40.714927
TR294,2024-11-19 08:59:00,2024-11-19 09:06:00,E,30,-73.989119,40.710862
TR295,2024-11-19 09:45:00,2024-11-19 09:51:00,W,38,-73.744796,40.711046
TR296,2024-11-19 10:03:00,2024-11-19 10:09:00,E,46,-73.613927,40.713737
TR297,2024-11-19 11:31:00,2024-11-19 11:36:00,W,39,-73.631,40.711084
TR298,2024-11-19 12:19:00,2024-11-19 12:25:00,E,41,-73.75537,40.714443
TR299,2024-11-19 15:22:00,2024-11-19 15:28:00,W,30,-73.633995,40.714878
TR300,2024-11-19 16:50:00,2024-11-19 16:55:00,E,32,-73.590602,40.710886
TR301,2024-11-19 17:04:00,2024-11-19 17:09:00,W,35,-73.603116,40.715424
TR302,2024-11-19 19:05:00,2024-11-19 19:13:00,E,31,-73.632644,40.715162
TR303,2024-11-20 07:43:00,2024-11-20 07:48:00,W,34,-73.891748,40.710902
TR304,2024-11-20 08:31:00,2024-11-20 08:39:00,E,38,-74.001508,40.711249
TR305,2024-11-20 08:40:00,2024-11-20 08:46:00,W,35,-73.82768,40.713001
TR307,2024-11-20 10:31:00,2024-11-20 10:36:00,W,33,-73.66622,40.711654
TR306,2024-11-20 10:49:00,2024-11-20 10:54:00,E,35,-73.808246,40.712119
TR308,2024-11-20 11:33:00,2024-11-20 11:38:00,E,49,-73.932762,40.711741
TR309,2024-11-20 13:33:00,2024-11-20 13:39:00,W,34,-73.614596,40.713001
